Epoch,base,base+,cutout,mixup,cutmix,,,,,,,
1,0.1927,0.1511,0.1393,0.1254,0.1437,,,,,,,
2,0.2972,0.2389,0.2165,0.1689,0.2296,,,,,,,
3,0.4003,0.317,0.282,0.3139,0.3258,,,,,,,
4,0.4639,0.3905,0.3656,0.3365,0.3941,,,,,,,
5,0.4907,0.4471,0.4138,0.3904,0.4235,,,,,,,
6,0.4977,0.4789,0.4281,0.4489,0.4469,,,,,,,
7,0.5062,0.4823,0.4617,0.4665,0.4965,,,,,,,
8,0.4885,0.4871,0.4571,0.4693,0.5083,,,,,,,
9,0.4935,0.4949,0.4176,0.4578,0.4882,,,,,,,
10,0.505,0.5083,0.4923,0.4355,0.5193,,,,,,,
11,0.4641,0.5443,0.4788,0.4806,0.5405,,,,,,,
12,0.5105,0.5319,0.5312,0.4878,0.549,,,,,,,
13,0.4825,0.5508,0.4932,0.5122,0.5354,,,,,,,
14,0.4452,0.5533,0.5295,0.5082,0.558,,,,,,,
15,0.4732,0.5564,0.5421,0.5367,0.5195,,,,,,,
16,0.4513,0.5773,0.516,0.5332,0.5403,,,,,,,
17,0.485,0.5703,0.5174,0.5404,0.5636,,,,,,,
18,0.4889,0.5549,0.5204,0.537,0.5901,,,,,,,
19,0.4738,0.5151,0.5358,0.544,0.5617,,,,,,,
20,0.4489,0.5493,0.539,0.5231,0.5492,,,,,,,
21,0.4768,0.5792,0.539,0.5577,0.5843,,,,,,,
22,0.4869,0.5516,0.5015,0.5345,0.576,,,,,,,
23,0.507,0.5868,0.5116,0.5393,0.5737,,,,,,,
24,0.4769,0.5308,0.524,0.5444,0.5542,,,,,,,
25,0.4711,0.5583,0.5567,0.5102,0.5719,,,,,,,
26,0.494,0.5839,0.5617,0.5193,0.5778,,,,,,,
27,0.4826,0.5259,0.5723,0.4879,0.5701,,,,,,,
28,0.4886,0.5697,0.5671,0.5294,0.5985,,,,,,,
29,0.4894,0.5375,0.5844,0.5577,0.5903,,,,,,,
30,0.481,0.5517,0.5622,0.5532,0.5918,,,,,,,
