"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"1","0.1511","0.1426","0.154","0.1275","0.1532"
"2","0.2389","0.2273","0.2309","0.2152","0.2578"
"3","0.317","0.3059","0.3226","0.2723","0.3291"
"4","0.3905","0.3736","0.3741","0.3583","0.4507"
"5","0.4471","0.4025","0.4436","0.4046","0.4688"
"6","0.4789","0.4715","0.4974","0.4386","0.4858"
"7","0.4823","0.4822","0.5093","0.4349","0.4994"
"8","0.4871","0.4797","0.5008","0.4694","0.509"
"9","0.4949","0.4756","0.4591","0.4691","0.4415"
"10","0.5083","0.4757","0.5075","0.4733","0.5357"
"11","0.5443","0.5089","0.5208","0.494","0.5324"
"12","0.5319","0.552","0.513","0.5407","0.5459"
"13","0.5508","0.5349","0.5592","0.5396","0.5302"
"14","0.5533","0.5342","0.5681","0.5571","0.5355"
"15","0.5564","0.5796","0.558","0.5345","0.5376"
"16","0.5773","0.5751","0.55","0.5518","0.5702"
"17","0.5703","0.5734","0.5734","0.5363","0.5665"
"18","0.5549","0.5631","0.5706","0.5626","0.5644"
"19","0.5151","0.573","0.5752","0.5455","0.5608"
"20","0.5493","0.5584","0.5687","0.5476","0.5432"
"21","0.5792","0.5664","0.5521","0.5619","0.5494"
"22","0.5516","0.5328","0.5388","0.5151","0.4208"
"23","0.5868","0.5755","0.5795","0.532","0.5441"
"24","0.5308","0.5652","0.5487","0.5797","0.5514"
"25","0.5583","0.5395","0.5659","0.5745","0.5868"
"26","0.5839","0.5879","0.5995","0.561","0.5781"
"27","0.5259","0.5824","0.5972","0.5768","0.5653"
"28","0.5697","0.5968","0.579","0.5614","0.5977"
"29","0.5375","0.5449","0.569","0.58","0.5948"
"30","0.5517","0.5627","0.564","0.5605","0.5663"
"31","0.5825","0.5616","0.5916","0.564","0.576"
"32","0.5755","0.5777","0.5877","0.5551","0.544"
"33","0.5878","0.5776","0.5903","0.56","0.602"
"34","0.6008","0.57","0.565","0.5769","0.5962"
"35","0.5822","0.53","0.563","0.5937","0.5848"
"36","0.5982","0.6077","0.5811","0.5654","0.5719"
"37","0.6182","0.5876","0.6049","0.5826","0.5928"
"38","0.5869","0.5873","0.5987","0.5753","0.5318"
"39","0.5558","0.5683","0.5939","0.5936","0.604"
"40","0.5886","0.5694","0.5835","0.5671","0.5578"
"41","0.5783","0.5649","0.6026","0.5806","0.5778"
"42","0.5726","0.5827","0.5656","0.5901","0.6074"
"43","0.5695","0.6033","0.5657","0.6079","0.5816"
"44","0.5971","0.5933","0.5936","0.5655","0.5902"
"45","0.582","0.5903","0.5487","0.5559","0.5761"
"46","0.5865","0.565","0.5551","0.5641","0.5731"
"47","0.5787","0.5655","0.5671","0.5551","0.5922"
"48","0.5476","0.5794","0.5991","0.6006","0.6042"
"49","0.5767","0.5833","0.5844","0.583","0.5642"
"50","0.6103","0.605","0.5938","0.5827","0.5949"
"51","0.552","0.5477","0.5946","0.5762","0.5554"
"52","0.5995","0.6111","0.5962","0.5896","0.5922"
"53","0.5863","0.5601","0.5882","0.5449","0.553"
"54","0.6023","0.5993","0.6166","0.5956","0.5983"
"55","0.5876","0.5822","0.5988","0.582","0.618"
"56","0.5997","0.5935","0.6158","0.6146","0.5986"
"57","0.5996","0.5767","0.595","0.5723","0.6118"
"58","0.5879","0.5613","0.584","0.6205","0.5819"
"59","0.5734","0.5924","0.5889","0.5584","0.6084"
"60","0.5607","0.5906","0.5681","0.5449","0.5595"
"61","0.7342","0.7324","0.7355","0.7363","0.7373"
"62","0.7405","0.7404","0.7368","0.7355","0.7433"
"63","0.743","0.7406","0.7436","0.7335","0.7425"
"64","0.7441","0.7363","0.7399","0.735","0.7462"
"65","0.7393","0.7329","0.7444","0.7399","0.739"
"66","0.7385","0.7278","0.7367","0.735","0.7374"
"67","0.7361","0.73","0.7361","0.733","0.7316"
"68","0.7343","0.7256","0.7277","0.7261","0.7322"
"69","0.7267","0.7259","0.7268","0.7223","0.7274"
"70","0.7219","0.7205","0.7264","0.7258","0.7297"
"71","0.7241","0.7147","0.7245","0.7118","0.7262"
"72","0.7052","0.7171","0.7189","0.707","0.7166"
"73","0.7095","0.7032","0.7025","0.7086","0.7132"
"74","0.7121","0.7153","0.7199","0.6937","0.7085"
"75","0.6914","0.6995","0.7166","0.7089","0.7169"
"76","0.6998","0.698","0.6985","0.6978","0.6909"
"77","0.6932","0.6933","0.7074","0.6973","0.706"
"78","0.7032","0.6923","0.7045","0.6953","0.6877"
"79","0.6831","0.6818","0.693","0.6856","0.7019"
"80","0.7027","0.6888","0.6948","0.6839","0.7028"
"81","0.6933","0.6804","0.6906","0.6892","0.69"
"82","0.6973","0.6993","0.6831","0.6793","0.6894"
"83","0.694","0.691","0.6839","0.6916","0.6863"
"84","0.6826","0.6884","0.6936","0.6942","0.6986"
"85","0.6973","0.6972","0.7049","0.6986","0.6889"
"86","0.6871","0.6881","0.6898","0.6879","0.7073"
"87","0.6973","0.6901","0.6941","0.6878","0.7001"
"88","0.695","0.6937","0.6904","0.6919","0.6911"
"89","0.6753","0.6845","0.6818","0.6861","0.6933"
"90","0.6977","0.6921","0.7014","0.6808","0.7045"
"91","0.6865","0.6902","0.6959","0.6876","0.6807"
"92","0.6913","0.6924","0.6895","0.6885","0.6968"
"93","0.6863","0.6891","0.6897","0.691","0.6905"
"94","0.6955","0.6752","0.6839","0.687","0.6828"
"95","0.6956","0.6834","0.6963","0.6803","0.6943"
"96","0.6903","0.6739","0.6791","0.6828","0.6943"
"97","0.6772","0.6822","0.6948","0.6937","0.6844"
"98","0.6904","0.6812","0.693","0.6606","0.6871"
"99","0.6898","0.6905","0.6838","0.6902","0.6936"
"100","0.6861","0.6796","0.681","0.666","0.6882"
"101","0.6946","0.6867","0.6939","0.6822","0.6952"
"102","0.6848","0.6887","0.6968","0.687","0.6989"
"103","0.6912","0.6923","0.6876","0.6816","0.6863"
"104","0.7041","0.6832","0.677","0.6841","0.6864"
"105","0.6838","0.6827","0.6813","0.6918","0.6819"
"106","0.6921","0.6785","0.6872","0.6866","0.6954"
"107","0.6894","0.6919","0.6943","0.689","0.6963"
"108","0.6696","0.6837","0.6936","0.68","0.6907"
"109","0.6997","0.6862","0.6906","0.686","0.6896"
"110","0.6901","0.6917","0.6869","0.6742","0.685"
"111","0.6797","0.6726","0.6826","0.6704","0.6924"
"112","0.6919","0.6837","0.702","0.6809","0.6933"
"113","0.6828","0.6842","0.6791","0.6817","0.6914"
"114","0.6858","0.6895","0.6969","0.698","0.6893"
"115","0.6916","0.6951","0.6923","0.69","0.6892"
"116","0.6938","0.6846","0.679","0.6848","0.6886"
"117","0.695","0.6736","0.6912","0.6843","0.6847"
"118","0.6949","0.6868","0.6918","0.6895","0.7004"
"119","0.6808","0.6888","0.6822","0.6768","0.6929"
"120","0.6895","0.6912","0.687","0.6898","0.689"
"121","0.7512","0.7494","0.7551","0.7449","0.7489"
"122","0.7577","0.7546","0.76","0.7522","0.7552"
"123","0.7602","0.7554","0.7609","0.7548","0.7574"
"124","0.7635","0.757","0.7599","0.7584","0.7567"
"125","0.7598","0.7581","0.7619","0.7555","0.7566"
"126","0.763","0.7595","0.7634","0.7598","0.7594"
"127","0.7595","0.7615","0.7627","0.7609","0.7608"
"128","0.7624","0.7611","0.7659","0.7577","0.7602"
"129","0.7628","0.7635","0.7661","0.7561","0.7626"
"130","0.7645","0.7642","0.7696","0.7614","0.7606"
"131","0.7652","0.7631","0.7681","0.7596","0.7637"
"132","0.7638","0.7625","0.7683","0.7586","0.7637"
"133","0.7671","0.7621","0.7693","0.7605","0.7645"
"134","0.7676","0.7643","0.7689","0.7603","0.7643"
"135","0.7674","0.7635","0.7703","0.7605","0.7667"
"136","0.7664","0.7645","0.7686","0.762","0.7648"
"137","0.769","0.764","0.7699","0.7623","0.7686"
"138","0.7698","0.7667","0.7722","0.7637","0.767"
"139","0.7675","0.7675","0.7725","0.7622","0.768"
"140","0.7689","0.7649","0.7714","0.7613","0.7691"
"141","0.7701","0.7654","0.7731","0.7628","0.7669"
"142","0.7695","0.7671","0.7728","0.7648","0.7697"
"143","0.7687","0.7651","0.7732","0.7646","0.7687"
"144","0.7722","0.7661","0.7722","0.7659","0.7669"
"145","0.7717","0.7671","0.7745","0.7653","0.77"
"146","0.7732","0.7672","0.774","0.7644","0.7718"
"147","0.7712","0.7664","0.774","0.7671","0.7706"
"148","0.7723","0.7662","0.7717","0.7682","0.7695"
"149","0.7698","0.7673","0.7745","0.7647","0.7698"
"150","0.772","0.7671","0.7737","0.7652","0.7685"
"151","0.7747","0.7678","0.7739","0.7654","0.7714"
"152","0.7732","0.7694","0.7736","0.7663","0.7721"
"153","0.7735","0.7688","0.7761","0.7658","0.7701"
"154","0.7727","0.7673","0.7753","0.7649","0.7711"
"155","0.7732","0.7669","0.7766","0.7674","0.772"
"156","0.7718","0.7677","0.7767","0.7657","0.7724"
"157","0.7721","0.7692","0.7744","0.7658","0.7718"
"158","0.7737","0.7699","0.7739","0.7668","0.7737"
"159","0.7735","0.7715","0.7768","0.767","0.7755"
"160","0.7739","0.7691","0.7749","0.767","0.7743"
"161","0.7748","0.7704","0.7759","0.7668","0.7746"
"162","0.7756","0.7706","0.7773","0.7661","0.7751"
"163","0.7766","0.7687","0.7781","0.7669","0.775"
"164","0.7757","0.7686","0.7768","0.7663","0.7732"
"165","0.774","0.7694","0.7744","0.7666","0.7731"
"166","0.775","0.7708","0.7778","0.7672","0.7754"
"167","0.7761","0.7692","0.7761","0.7673","0.776"
"168","0.7754","0.7723","0.7784","0.7663","0.7757"
"169","0.7746","0.7711","0.7761","0.7677","0.7747"
"170","0.774","0.7699","0.778","0.7669","0.7757"
"171","0.7745","0.7709","0.7775","0.7687","0.776"
"172","0.7747","0.7717","0.7781","0.7684","0.7756"
"173","0.7741","0.7713","0.7768","0.769","0.7745"
"174","0.7764","0.772","0.777","0.7675","0.775"
"175","0.7746","0.7694","0.7775","0.7688","0.7768"
"176","0.7757","0.7677","0.7781","0.7683","0.7754"
"177","0.7758","0.7713","0.7771","0.7696","0.7757"
"178","0.7753","0.7706","0.7777","0.7692","0.7751"
"179","0.7735","0.7709","0.7784","0.7685","0.7757"
"180","0.7762","0.7713","0.7768","0.7682","0.7759"
"181","0.7748","0.7705","0.7774","0.7699","0.7747"
"182","0.7749","0.7716","0.7785","0.7685","0.7773"
"183","0.7757","0.7718","0.7788","0.7691","0.7764"
"184","0.7744","0.7708","0.7788","0.769","0.7763"
"185","0.7745","0.7709","0.7787","0.7691","0.7765"
"186","0.7737","0.7688","0.7781","0.769","0.7766"
"187","0.7756","0.7702","0.7777","0.7689","0.7755"
"188","0.776","0.7712","0.7775","0.7688","0.7766"
"189","0.7756","0.77","0.7768","0.7701","0.7761"
"190","0.7774","0.7711","0.7782","0.7687","0.7749"
"191","0.7753","0.7701","0.7785","0.7682","0.7757"
"192","0.7766","0.7701","0.7781","0.7704","0.775"
"193","0.7768","0.7702","0.7779","0.7705","0.7774"
"194","0.7753","0.7708","0.7793","0.7686","0.7745"
"195","0.7762","0.7717","0.7794","0.7695","0.7755"
"196","0.7772","0.771","0.7797","0.7703","0.7758"
"197","0.776","0.7703","0.7799","0.7702","0.7761"
"198","0.7761","0.7712","0.7792","0.7697","0.7776"
"199","0.7761","0.771","0.7801","0.77","0.7774"
"200","0.7771","0.7716","0.7806","0.7694","0.7764"
