"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"1","0.1159","0.1159","0.1159","0.1159","0.1159"
"2","0.187","0.187","0.187","0.187","0.187"
"3","0.2492","0.2492","0.2492","0.2492","0.2492"
"4","0.2858","0.2858","0.2858","0.2858","0.2858"
"5","0.3636","0.3636","0.3636","0.3636","0.3636"
"6","0.3557","0.3557","0.3557","0.3557","0.3557"
"7","0.4297","0.4297","0.4297","0.4297","0.4297"
"8","0.4099","0.4099","0.4099","0.4099","0.4099"
"9","0.4582","0.4582","0.4582","0.4582","0.4582"
"10","0.4376","0.4376","0.4376","0.4376","0.4376"
"11","0.4558","0.4558","0.4558","0.4558","0.4558"
"12","0.4542","0.4542","0.4542","0.4542","0.4542"
"13","0.4898","0.4898","0.4898","0.4898","0.4898"
"14","0.4886","0.4886","0.4886","0.4886","0.4886"
"15","0.5127","0.5127","0.5127","0.5127","0.5127"
"16","0.513","0.513","0.513","0.513","0.513"
"17","0.5273","0.5273","0.5273","0.5273","0.5273"
"18","0.5252","0.5252","0.5252","0.5252","0.5252"
"19","0.4922","0.4922","0.4922","0.4922","0.4922"
"20","0.5057","0.5057","0.5057","0.5057","0.5057"
"21","0.5327","0.5327","0.5327","0.5327","0.5327"
"22","0.5017","0.5017","0.5017","0.5017","0.5017"
"23","0.5436","0.5436","0.5436","0.5436","0.5436"
"24","0.5422","0.5422","0.5422","0.5422","0.5422"
"25","0.5072","0.5072","0.5072","0.5072","0.5072"
"26","0.5525","0.5525","0.5525","0.5525","0.5525"
"27","0.5306","0.5306","0.5306","0.5306","0.5306"
"28","0.5572","0.5572","0.5572","0.5572","0.5572"
"29","0.4814","0.4814","0.4814","0.4814","0.4814"
"30","0.5602","0.5602","0.5602","0.5602","0.5602"
"31","0.5317","0.5317","0.5317","0.5317","0.5317"
"32","0.523","0.523","0.523","0.523","0.523"
"33","0.5891","0.5891","0.5891","0.5891","0.5891"
"34","0.5308","0.5308","0.5308","0.5308","0.5308"
"35","0.5702","0.5702","0.5702","0.5702","0.5702"
"36","0.5812","0.5812","0.5812","0.5812","0.5812"
"37","0.5838","0.5838","0.5838","0.5838","0.5838"
"38","0.5525","0.5525","0.5525","0.5525","0.5525"
"39","0.5644","0.5644","0.5644","0.5644","0.5644"
"40","0.5763","0.5763","0.5763","0.5763","0.5763"
"41","0.6004","0.6004","0.6004","0.6004","0.6004"
"42","0.5612","0.5612","0.5612","0.5612","0.5612"
"43","0.5469","0.5469","0.5469","0.5469","0.5469"
"44","0.5597","0.5597","0.5597","0.5597","0.5597"
"45","0.5572","0.5572","0.5572","0.5572","0.5572"
"46","0.5256","0.5256","0.5256","0.5256","0.5256"
"47","0.5922","0.5922","0.5922","0.5922","0.5922"
"48","0.5448","0.5448","0.5448","0.5448","0.5448"
"49","0.5762","0.5762","0.5762","0.5762","0.5762"
"50","0.5565","0.5565","0.5565","0.5565","0.5565"
"51","0.5823","0.5823","0.5823","0.5823","0.5823"
"52","0.5845","0.5845","0.5845","0.5845","0.5845"
