"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"1","0.1393","0.1434","0.1197","0.1266","0.1197"
"2","0.2165","0.202","0.1933","0.2083","0.2066"
"3","0.282","0.2886","0.2528","0.2789","0.2769"
"4","0.3656","0.3581","0.3181","0.3088","0.3186"
"5","0.4138","0.3888","0.3407","0.3853","0.3799"
"6","0.4281","0.4184","0.3491","0.4321","0.3739"
"7","0.4617","0.4345","0.395","0.4151","0.4121"
"8","0.4571","0.4525","0.4079","0.4493","0.4651"
"9","0.4176","0.4812","0.4391","0.4526","0.4789"
"10","0.4923","0.4505","0.4305","0.4871","0.5012"
"11","0.4788","0.5146","0.454","0.4639","0.4915"
"12","0.5312","0.5281","0.5006","0.5239","0.4652"
"13","0.4932","0.496","0.5226","0.4811","0.5209"
"14","0.5295","0.5001","0.5324","0.5385","0.5292"
"15","0.5421","0.5207","0.5142","0.5523","0.5278"
"16","0.516","0.554","0.4881","0.5174","0.5329"
"17","0.5174","0.5232","0.5229","0.5279","0.5557"
"18","0.5204","0.5467","0.5171","0.5122","0.5121"
"19","0.5358","0.5371","0.4718","0.5455","0.5471"
"20","0.539","0.5544","0.5432","0.5478","0.5144"
"21","0.539","0.5424","0.5327","0.5606","0.5484"
"22","0.5015","0.5165","0.4896","0.5763","0.5226"
"23","0.5116","0.5324","0.5477","0.5375","0.529"
"24","0.524","0.5602","0.5264","0.5479","0.5628"
"25","0.5567","0.541","0.5387","0.5377","0.5459"
"26","0.5617","0.559","0.5608","0.5364","0.4934"
"27","0.5723","0.5788","0.5426","0.5459","0.5297"
"28","0.5671","0.5513","0.5657","0.5564","0.4941"
"29","0.5844","0.5482","0.5461","0.4886","0.5306"
"30","0.5622","0.5728","0.5781","0.54","0.5462"
"31","0.5769","0.5876","0.5643","0.5759","0.5502"
"32","0.5576","0.5166","0.5893","0.5583","0.5684"
"33","0.5556","0.606","0.5491","0.5695","0.5856"
"34","0.5799","0.5537","0.5439","0.5562","0.5654"
"35","0.5171","0.5625","0.5442","0.5698","0.5542"
"36","0.5478","0.5677","0.5949","0.5886","0.593"
"37","0.5799","0.5544","0.5909","0.5496","0.5364"
"38","0.5758","0.5834","0.5673","0.5705","0.5193"
"39","0.5723","0.5531","0.5726","0.5631","0.5702"
"40","0.5701","0.5618","0.5342","0.5747","0.5549"
"41","0.566","0.5333","0.5815","0.5646","0.5639"
"42","0.5145","0.5685","0.5697","0.5714","0.582"
"43","0.5697","0.6077","0.5724","0.5176","0.5571"
"44","0.564","0.5348","0.5161","0.5913","0.5549"
"45","0.5603","0.5695","0.5724","0.5841","0.5799"
"46","0.5833","0.5959","0.5621","0.5611","0.5643"
"47","0.5583","0.5659","0.5745","0.5653","0.5624"
