"Epoch","test_acc1","test_acc2","test_acc3","test_acc4","test_acc5"
"1","0.1254","0.115","0.1251","0.1226","0.1052"
"2","0.1689","0.1658","0.1687","0.1775","0.1548"
"3","0.3139","0.2754","0.2772","0.3195","0.2728"
"4","0.3365","0.2914","0.3027","0.3514","0.2944"
"5","0.3904","0.3637","0.381","0.3786","0.37"
"6","0.4489","0.4254","0.3873","0.4183","0.4277"
"7","0.4665","0.4614","0.4487","0.4664","0.421"
"8","0.4693","0.4808","0.4625","0.47","0.4361"
"9","0.4578","0.4856","0.4511","0.4603","0.4868"
"10","0.4355","0.4895","0.4481","0.4814","0.4648"
"11","0.4806","0.4888","0.4888","0.519","0.5022"
"12","0.4878","0.4872","0.5164","0.4719","0.4573"
"13","0.5122","0.4839","0.5013","0.4987","0.4907"
"14","0.5082","0.4658","0.5017","0.4888","0.4332"
"15","0.5367","0.5282","0.5124","0.4887","0.51"
"16","0.5332","0.5345","0.4759","0.4912","0.5428"
"17","0.5404","0.5469","0.5176","0.5114","0.478"
"18","0.537","0.5304","0.5328","0.5075","0.4959"
"19","0.544","0.5044","0.538","0.5239","0.5191"
"20","0.5231","0.5302","0.5231","0.5443","0.53"
"21","0.5577","0.5196","0.5418","0.5656","0.5547"
"22","0.5345","0.501","0.5212","0.5496","0.5156"
"23","0.5393","0.5088","0.5469","0.5167","0.5103"
"24","0.5444","0.559","0.5678","0.5239","0.5214"
"25","0.5102","0.5101","0.5156","0.5108","0.5349"
"26","0.5193","0.5406","0.5622","0.4973","0.5592"
"27","0.4879","0.5567","0.5683","0.5743","0.5553"
"28","0.5294","0.5631","0.5624","0.5605","0.5451"
"29","0.5577","0.5807","0.584","0.5666","0.5602"
"30","0.5532","0.5173","0.5591","0.5447","0.5331"
"31","0.5269","0.5579","0.5486","0.5454","0.5336"
"32","0.5139","0.576","0.5761","0.5331","0.5744"
"33","0.566","0.5827","0.5006","0.577","0.5782"
"34","0.5794","0.5909","0.5598","0.5584","0.5811"
"35","0.5797","0.5604","0.5808","0.547","0.5364"
"36","0.5617","0.5637","0.5726","0.5647","0.589"
"37","0.5688","0.5581","0.5707","0.547","0.5492"
"38","0.5359","0.5559","0.5292","0.5687","0.5462"
"39","0.5438","0.5317","0.5544","0.5577","0.5459"
"40","0.575","0.6122","0.5468","0.565","0.5918"
"41","0.5668","0.5563","0.5708","0.5716","0.5876"
"42","0.553","0.5647","0.5546","0.5607","0.5493"
"43","0.5758","0.5361","0.5801","0.5647","0.562"
"44","0.5591","0.572","0.555","0.5755","0.5808"
"45","0.584","0.5634","0.543","0.5801","0.5321"
"46","0.5845","0.5677","0.5876","0.6094","0.6163"
"47","0.56","0.5759","0.5922","0.5986","0.5276"
"48","0.58","0.5653","0.5501","0.553","0.5632"
"49","0.5497","0.5782","0.5648","0.5694","0.5552"
"50","0.5751","0.5706","0.5946","0.5805","0.5798"
"51","0.6025","0.5872","0.5832","0.5902","0.5889"
"52","0.56","0.5278","0.5359","0.5566","0.5662"
"53","0.5556","0.5472","0.5497","0.6105","0.5572"
"54","0.5182","0.5515","0.5446","0.5391","0.5876"
"55","0.5896","0.5991","0.5675","0.5846","0.5756"
"56","0.5596","0.5933","0.5756","0.5916","0.556"
"57","0.5647","0.5963","0.5652","0.5213","0.5385"
"58","0.5566","0.5615","0.5829","0.5836","0.5888"
"59","0.5304","0.5398","0.5586","0.534","0.607"
"60","0.5206","0.5949","0.5566","0.5699","0.5603"
"61","0.6994","0.7145","0.711","0.7128","0.7091"
"62","0.7252","0.7171","0.7198","0.719","0.7209"
"63","0.7108","0.7286","0.7268","0.7292","0.7218"
"64","0.7165","0.7354","0.7155","0.7187","0.6968"
"65","0.7274","0.7196","0.7238","0.7279","0.7151"
