""
epoch,train_acc,test_acc
1,0.08934,0.1511
2,0.1948,0.2389
3,0.29362,0.317
4,0.38528,0.3905
5,0.4519,0.4471
6,0.50154,0.4789
7,0.53728,0.4823
8,0.55512,0.4871
9,0.5723,0.4949
10,0.59078,0.5083
11,0.6035,0.5443
12,0.61106,0.5319
13,0.6219,0.5508
14,0.62888,0.5533
15,0.63832,0.5564
16,0.64444,0.5773
17,0.65274,0.5703
18,0.65756,0.5549
19,0.66098,0.5151
20,0.66572,0.5493
21,0.6672,0.5792
22,0.6721,0.5516
23,0.67444,0.5868
24,0.6818,0.5308
25,0.6801,0.5583
26,0.6833,0.5839
27,0.68548,0.5259
28,0.6894,0.5697
29,0.68578,0.5375
30,0.69276,0.5517
31,0.6946,0.5825
32,0.69574,0.5755
33,0.69608,0.5878
34,0.69664,0.6008
35,0.70216,0.5822
36,0.69802,0.5982
37,0.7046,0.6182
38,0.70008,0.5869
39,0.70678,0.5558
40,0.70672,0.5886
41,0.70666,0.5783
42,0.70654,0.5726
43,0.70622,0.5695
44,0.7085,0.5971
45,0.70932,0.582
46,0.7126,0.5865
47,0.71284,0.5787
48,0.71186,0.5476
49,0.7125,0.5767
50,0.71072,0.6103
51,0.7124,0.552
52,0.71652,0.5995
53,0.71292,0.5863
54,0.7184,0.6023
55,0.7144,0.5876
56,0.71536,0.5997
57,0.71744,0.5996
58,0.7184,0.5879
59,0.71858,0.5734
60,0.71838,0.5607
61,0.84624,0.7342
62,0.8892,0.7405
63,0.90988,0.743
64,0.92252,0.7441
65,0.93326,0.7393
66,0.9419,0.7385
67,0.9473,0.7361
68,0.94814,0.7343
69,0.9514,0.7267
70,0.95146,0.7219
71,0.95296,0.7241
72,0.94578,0.7052
73,0.94456,0.7095
74,0.94324,0.7121
75,0.94138,0.6914
76,0.93904,0.6998
77,0.93434,0.6932
78,0.9356,0.7032
79,0.93564,0.6831
80,0.93584,0.7027
81,0.9392,0.6933
82,0.93658,0.6973
83,0.93086,0.694
84,0.93558,0.6826
85,0.93404,0.6973
86,0.9358,0.6871
87,0.93744,0.6973
88,0.93942,0.695
89,0.93882,0.6753
90,0.93876,0.6977
91,0.939,0.6865
92,0.9435,0.6913
93,0.93978,0.6863
94,0.93686,0.6955
95,0.94446,0.6956
96,0.946,0.6903
97,0.93894,0.6772
