""
epoch,train_acc,test_acc
1,0.12404,0.1927
2,0.26798,0.2972
3,0.39178,0.4003
4,0.48296,0.4639
5,0.55586,0.4907
6,0.6109,0.4977
7,0.65572,0.5062
8,0.69424,0.4885
9,0.7276,0.4935
10,0.75824,0.505
11,0.78192,0.4641
12,0.80074,0.5105
13,0.81602,0.4825
14,0.82682,0.4452
15,0.83108,0.4732
16,0.84198,0.4513
17,0.84904,0.485
18,0.85024,0.4889
19,0.84844,0.4738
20,0.86384,0.4489
21,0.85274,0.4768
22,0.86544,0.4869
23,0.86664,0.507
24,0.8614,0.4769
25,0.86724,0.4711
26,0.86598,0.494
27,0.86454,0.4826
28,0.86768,0.4886
29,0.87424,0.4894
30,0.8647,0.481
31,0.87334,0.4712
32,0.87052,0.4913
33,0.86986,0.4666
34,0.87248,0.4682
35,0.86896,0.4884
36,0.87582,0.4685
37,0.87336,0.4731
38,0.87292,0.4816
39,0.86928,0.4828
40,0.87728,0.4649
41,0.87876,0.4894
42,0.87974,0.4808
43,0.87302,0.4783
44,0.87684,0.4809
45,0.87856,0.4856
46,0.8727,0.4882
47,0.87644,0.4645
48,0.8805,0.4894
49,0.87576,0.4862
50,0.87854,0.4711
51,0.87398,0.4731
52,0.88122,0.4952
53,0.87406,0.4741
54,0.88038,0.4838
55,0.8766,0.4894
56,0.881,0.4757
57,0.87614,0.484
58,0.87688,0.5024
59,0.88454,0.4147
60,0.8781,0.4541
61,0.97382,0.6075
62,0.99906,0.6161
63,0.99944,0.6173
64,0.9995,0.6176
65,0.9995,0.6206
66,0.99958,0.622
67,0.99966,0.6226
68,0.99962,0.624
69,0.99968,0.6246
70,0.9997,0.6258
71,0.9997,0.6257
72,0.99966,0.6258
73,0.9997,0.6274
74,0.99966,0.6285
75,0.99968,0.6247
76,0.99968,0.6269
77,0.9996,0.6273
78,0.99972,0.6277
79,0.99966,0.6276
80,0.99972,0.6275
81,0.99958,0.6293
82,0.99966,0.6254
83,0.99964,0.6268
84,0.99964,0.626
85,0.99964,0.6259
86,0.99956,0.628
87,0.9995,0.625
88,0.99966,0.6258
89,0.99962,0.6252
90,0.99962,0.6249
91,0.99968,0.6244
92,0.99968,0.6217
93,0.99578,0.4868
94,0.79782,0.4874
95,0.92632,0.5311
96,0.98192,0.5753
97,0.99682,0.6075
98,0.99918,0.6263
99,0.99938,0.6309
100,0.99954,0.6322
101,0.99964,0.6306
102,0.99958,0.6341
103,0.99956,0.6335
104,0.9997,0.6342
105,0.99962,0.6379
106,0.99966,0.6329
107,0.99972,0.6356
108,0.99964,0.6352
109,0.99976,0.631
110,0.99974,0.6338
111,0.9997,0.6231
112,0.99968,0.6265
113,0.99966,0.6263
114,0.99968,0.6192
115,0.863,0.3986
116,0.75228,0.4981
117,0.9288,0.5507
118,0.97378,0.5753
119,0.99232,0.5921
120,0.99836,0.6131
121,0.99952,0.6235
122,0.99964,0.6241
123,0.99964,0.6256
124,0.99972,0.6273
125,0.99962,0.6277
126,0.99972,0.628
127,0.99972,0.6284
128,0.99968,0.6286
129,0.9998,0.6314
130,0.99976,0.6294
131,0.99976,0.6308
132,0.99976,0.6317
133,0.9998,0.6302
134,0.99976,0.6312
135,0.99982,0.6304
136,0.99972,0.6327
137,0.9998,0.6315
138,0.99976,0.6326
139,0.99978,0.6317
140,0.99974,0.6329
141,0.99974,0.6305
142,0.99972,0.6333
143,0.99976,0.6327
144,0.99976,0.6344
145,0.99978,0.6343
146,0.99974,0.6346
147,0.99978,0.6331
148,0.99974,0.6332
149,0.99974,0.634
150,0.99974,0.6342
151,0.99976,0.6345
152,0.99972,0.6321
153,0.99974,0.6335
154,0.9998,0.6329
155,0.99982,0.6321
156,0.99974,0.6323
157,0.99974,0.6316
158,0.99972,0.6311
159,0.99982,0.6333
160,0.99972,0.6318
161,0.99976,0.6318
162,0.99982,0.6315
163,0.99978,0.6318
164,0.99988,0.6324
165,0.99984,0.6329
166,0.9998,0.6323
