""
epoch,train_acc,test_acc
1,0.08932,0.1393
2,0.17496,0.2165
3,0.2512,0.282
4,0.31568,0.3656
5,0.36876,0.4138
6,0.41292,0.4281
7,0.4431,0.4617
8,0.464,0.4571
9,0.4851,0.4176
10,0.50298,0.4923
11,0.51574,0.4788
12,0.5253,0.5312
13,0.53346,0.4932
14,0.54252,0.5295
15,0.5487,0.5421
16,0.55416,0.516
17,0.55682,0.5174
18,0.56328,0.5204
19,0.56718,0.5358
20,0.5724,0.539
21,0.57926,0.539
22,0.58228,0.5015
23,0.58608,0.5116
24,0.5857,0.524
25,0.58818,0.5567
26,0.58496,0.5617
27,0.59196,0.5723
28,0.59318,0.5671
29,0.59366,0.5844
30,0.59904,0.5622
31,0.59772,0.5769
32,0.59882,0.5576
33,0.59852,0.5556
34,0.60092,0.5799
35,0.60288,0.5171
36,0.60666,0.5478
37,0.60644,0.5799
38,0.60714,0.5758
39,0.60612,0.5723
40,0.60858,0.5701
41,0.6084,0.566
42,0.60658,0.5145
43,0.6127,0.5697
44,0.61376,0.564
45,0.61236,0.5603
46,0.6126,0.5833
47,0.61464,0.5583
48,0.61502,0.5398
49,0.61474,0.5357
50,0.61878,0.6006
51,0.61492,0.5465
52,0.61568,0.5832
53,0.61822,0.586
54,0.6195,0.5832
55,0.61574,0.5798
56,0.61824,0.5676
57,0.61736,0.5483
58,0.61776,0.564
59,0.62042,0.5721
60,0.62274,0.5829
61,0.73724,0.7258
62,0.77356,0.7284
63,0.78758,0.7333
64,0.79704,0.7351
65,0.80338,0.7298
66,0.80732,0.7223
67,0.81442,0.725
68,0.8146,0.7218
69,0.81776,0.7165
70,0.81686,0.7188
71,0.81826,0.7086
72,0.8212,0.7145
73,0.82148,0.7196
74,0.82046,0.6995
75,0.82016,0.7174
76,0.82202,0.6977
77,0.82076,0.6954
78,0.8211,0.7096
79,0.82332,0.7004
80,0.82732,0.7113
81,0.82654,0.6957
82,0.82778,0.6993
83,0.8274,0.7023
84,0.82982,0.7073
85,0.83114,0.709
86,0.83398,0.6982
87,0.83168,0.7075
88,0.83342,0.7022
89,0.83184,0.704
90,0.83684,0.7071
91,0.83588,0.7084
92,0.83952,0.7007
93,0.84312,0.6885
94,0.8436,0.6984
95,0.84478,0.7091
96,0.846,0.6924
97,0.84636,0.7027
98,0.84546,0.7022
99,0.84654,0.6981
100,0.84912,0.6876
