""
epoch,train_acc,test_acc
1,0.06130518391728401,0.1168
2,0.11141568422317505,0.1468
3,0.1577478051185608,0.2441
4,0.19336146116256714,0.2978
5,0.22882117331027985,0.3577
6,0.27142417430877686,0.3762
7,0.30231383442878723,0.4295
8,0.331088125705719,0.4184
9,0.33702656626701355,0.4526
10,0.3349316120147705,0.4915
11,0.35821378231048584,0.4907
12,0.36137712001800537,0.4498
13,0.3727240264415741,0.5279
14,0.39017918705940247,0.4979
15,0.3936948776245117,0.5485
16,0.39614954590797424,0.5263
17,0.3792281746864319,0.4488
18,0.4005066752433777,0.5236
19,0.40491291880607605,0.4789
20,0.40860745310783386,0.4884
21,0.41383910179138184,0.5324
22,0.41014692187309265,0.51
23,0.42304882407188416,0.5522
24,0.42603909969329834,0.5162
25,0.4166129231452942,0.5557
26,0.4252384901046753,0.5463
27,0.42276906967163086,0.5468
28,0.43324950337409973,0.5743
29,0.42726027965545654,0.5435
30,0.43213769793510437,0.5753
31,0.4257637858390808,0.4886
32,0.43581995368003845,0.5695
33,0.4438599944114685,0.5347
34,0.44009020924568176,0.5918
35,0.43375852704048157,0.5633
36,0.44067132472991943,0.5531
37,0.4455418884754181,0.5527
38,0.4356231689453125,0.557
39,0.4316743016242981,0.5412
""
epoch,train_acc,test_acc
1,0.05960995703935623,0.1109
2,0.11133740097284317,0.1735
3,0.15112125873565674,0.2313
4,0.19331614673137665,0.2956
5,0.2360357791185379,0.3459
6,0.26932066679000854,0.4057
7,0.3027460277080536,0.4058
8,0.32354339957237244,0.4414
9,0.3501744866371155,0.4713
10,0.35049381852149963,0.453
11,0.35286375880241394,0.4946
12,0.3581256568431854,0.4923
13,0.3633298873901367,0.5013
14,0.39026132225990295,0.5028
15,0.39041346311569214,0.5376
16,0.3799504041671753,0.5449
17,0.3973027467727661,0.4904
18,0.40584468841552734,0.4844
19,0.40572667121887207,0.5129
20,0.4041125476360321,0.5211
21,0.4166511297225952,0.5046
22,0.4120424687862396,0.55
23,0.4100179374217987,0.4863
24,0.4188683331012726,0.5255
25,0.4129249155521393,0.5345
26,0.4139329791069031,0.545
27,0.41260436177253723,0.5457
28,0.4339202046394348,0.5327
29,0.4257659912109375,0.543
30,0.42891526222229004,0.5834
31,0.4228666126728058,0.525
32,0.431654155254364,0.5646
33,0.4264160990715027,0.5589
34,0.429141640663147,0.5513
35,0.442297101020813,0.5609
36,0.4380265772342682,0.5659
37,0.44119420647621155,0.5728
38,0.4338712990283966,0.5532
39,0.44317153096199036,0.5534
40,0.445059597492218,0.5601
41,0.44241762161254883,0.569
42,0.43105942010879517,0.565
43,0.44593971967697144,0.5924
44,0.4391224682331085,0.5736
45,0.4492778480052948,0.5608
46,0.4311426877975464,0.5856
47,0.4502439498901367,0.5786
48,0.4566170275211334,0.555
49,0.44715413451194763,0.558
50,0.4358488917350769,0.5826
51,0.4445832669734955,0.5776
52,0.4606117904186249,0.5469
53,0.441658079624176,0.5598
54,0.4440673887729645,0.5453
55,0.4452120065689087,0.5793
56,0.44896847009658813,0.5807
57,0.4517304599285126,0.5524
58,0.4473330080509186,0.5132
59,0.4512670338153839,0.5503
60,0.45811060070991516,0.5715
61,0.5172929167747498,0.6992
62,0.5348489284515381,0.7199
63,0.5519714951515198,0.7176
64,0.553797721862793,0.7162
65,0.5577414035797119,0.7009
66,0.5704985857009888,0.7008
67,0.562745213508606,0.7159
68,0.561792254447937,0.7104
69,0.5710428357124329,0.7204
70,0.5574230551719666,0.6965
71,0.5785337090492249,0.718
72,0.5768308639526367,0.7149
73,0.5624579191207886,0.7027
74,0.5726551413536072,0.7083
75,0.565500020980835,0.6904
76,0.568802535533905,0.7013
77,0.5839968919754028,0.7028
78,0.5749381184577942,0.6894
79,0.5931347012519836,0.7259
80,0.5815563201904297,0.7058
81,0.5773301124572754,0.7011
82,0.5856049060821533,0.6972
83,0.5883815288543701,0.7034
84,0.5709530711174011,0.6729
85,0.5652347803115845,0.6999
86,0.5842021107673645,0.7023
87,0.5785833597183228,0.6963
88,0.5847842693328857,0.7129
89,0.5809252858161926,0.6929
90,0.5739145874977112,0.6806
91,0.5803332328796387,0.6937
92,0.5702565908432007,0.7111
93,0.5847242474555969,0.7086
94,0.5831507444381714,0.6988
95,0.603266179561615,0.7036
96,0.5889459252357483,0.6974
97,0.6015343070030212,0.7043
98,0.5848090648651123,0.692
99,0.5915043950080872,0.7004
100,0.5828894376754761,0.7046
101,0.5867680311203003,0.6975
102,0.5890932679176331,0.6998
103,0.5901809334754944,0.6969
104,0.591322660446167,0.7105
""
epoch,train_acc,test_acc
1,0.06636105477809906,0.1254
2,0.12609873712062836,0.1689
3,0.17897650599479675,0.3139
4,0.23200435936450958,0.3365
5,0.2721191346645355,0.3904
6,0.3000090718269348,0.4489
7,0.3244692087173462,0.4665
8,0.34010952711105347,0.4693
9,0.3519537150859833,0.4578
10,0.3685433268547058,0.4355
11,0.37358441948890686,0.4806
12,0.383046418428421,0.4878
13,0.38319820165634155,0.5122
14,0.38805484771728516,0.5082
15,0.40782803297042847,0.5367
16,0.4101405739784241,0.5332
17,0.40933385491371155,0.5404
18,0.4114016890525818,0.537
19,0.4165998697280884,0.544
20,0.41100701689720154,0.5231
21,0.4155035614967346,0.5577
22,0.4262431561946869,0.5345
23,0.4338546097278595,0.5393
24,0.4253186583518982,0.5444
25,0.4116804003715515,0.5102
26,0.4292680323123932,0.5193
27,0.42605581879615784,0.4879
28,0.4244668781757355,0.5294
29,0.4338015615940094,0.5577
30,0.4364278018474579,0.5532
31,0.4302588701248169,0.5269
32,0.4480438530445099,0.5139
33,0.4327874481678009,0.566
34,0.43244072794914246,0.5794
35,0.43838393688201904,0.5797
36,0.434620201587677,0.5617
37,0.4425506591796875,0.5688
38,0.4359804391860962,0.5359
39,0.4444691836833954,0.5438
40,0.4472208321094513,0.575
41,0.4394516050815582,0.5668
42,0.4522354006767273,0.553
43,0.4453859031200409,0.5758
44,0.44653210043907166,0.5591
45,0.4463276267051697,0.584
46,0.4547328054904938,0.5845
47,0.453641802072525,0.56
48,0.4495394825935364,0.58
49,0.4570837914943695,0.5497
50,0.4419807493686676,0.5751
51,0.4589517116546631,0.6025
52,0.4420676529407501,0.56
53,0.4524979293346405,0.5556
54,0.4656811058521271,0.5182
55,0.4416488707065582,0.5896
56,0.4547380208969116,0.5596
57,0.46120086312294006,0.5647
58,0.4507785141468048,0.5566
59,0.44550395011901855,0.5304
60,0.447212278842926,0.5206
61,0.531707763671875,0.6994
62,0.549405574798584,0.7252
63,0.5462220907211304,0.7108
64,0.5643221735954285,0.7165
65,0.5694831609725952,0.7274
66,0.5711130499839783,0.7137
67,0.5636211037635803,0.7119
68,0.5668424367904663,0.7161
69,0.5768667459487915,0.7218
70,0.5708968639373779,0.706
71,0.5804183483123779,0.7234
72,0.5845198631286621,0.705
73,0.561517596244812,0.7098
74,0.5724774599075317,0.7075
75,0.5696941614151001,0.7191
76,0.5699908137321472,0.7075
77,0.5854395031929016,0.6979
78,0.5596485733985901,0.705
79,0.5745871663093567,0.7062
80,0.5788176655769348,0.6968
81,0.5878968834877014,0.7063
82,0.5795156359672546,0.6934
83,0.5718147158622742,0.6848
84,0.5989307165145874,0.7182
85,0.5872026681900024,0.7028
86,0.591526985168457,0.7055
87,0.5932027101516724,0.7083
88,0.595543384552002,0.7251
89,0.5983309745788574,0.6823
90,0.5845011472702026,0.7051
91,0.6057676672935486,0.7137
92,0.5895172357559204,0.7161
93,0.5800403952598572,0.7125
94,0.5928709506988525,0.707
95,0.6104992628097534,0.7094
96,0.6006259918212891,0.704
97,0.5993369817733765,0.7122
98,0.5910640358924866,0.7044
99,0.5751442313194275,0.7245
100,0.5960401892662048,0.7134
101,0.5906578302383423,0.7087
102,0.5991219282150269,0.7121
103,0.595431387424469,0.6913
104,0.5939468741416931,0.6976
105,0.6005201935768127,0.7202
